Test Points Classification Results
fs (kPa)        qE (MPa)        P(soil1)        P(soil2)        P(soil3)        P(soil4)        Max Prob Soil  
15.09           0.80            0.1091          0.7744          0.1163          0.0001          soil2          
14.48           0.76            0.2191          0.6901          0.0907          0.0001          soil2          
14.15           0.70            0.4130          0.5254          0.0616          0.0001          soil2          
14.66           0.72            0.3287          0.5969          0.0743          0.0001          soil2          
14.53           0.73            0.3137          0.6102          0.0760          0.0001          soil2          
13.86           0.74            0.2830          0.6385          0.0784          0.0001          soil2          
14.60           0.78            0.1637          0.7347          0.1015          0.0001          soil2          
15.04           0.80            0.1116          0.7729          0.1154          0.0001          soil2          
17.85           0.82            0.0596          0.7914          0.1488          0.0002          soil2          
15.91           0.85            0.0409          0.8122          0.1467          0.0002          soil2          
15.07           0.89            0.0169          0.8194          0.1635          0.0002          soil2          
17.12           0.87            0.0212          0.8078          0.1707          0.0003          soil2          
16.90           0.84            0.0429          0.8055          0.1514          0.0002          soil2          
18.20           0.93            0.0042          0.7737          0.2217          0.0004          soil2          
18.12           0.91            0.0087          0.7899          0.2011          0.0004          soil2          
15.49           0.94            0.0044          0.7949          0.2004          0.0003          soil2          
17.11           0.89            0.0161          0.8061          0.1775          0.0003          soil2          
18.35           0.92            0.0059          0.7801          0.2136          0.0004          soil2          
18.84           0.98            0.0012          0.7343          0.2639          0.0006          soil2          
17.47           0.96            0.0022          0.7631          0.2342          0.0005          soil2          
17.64           0.94            0.0033          0.7722          0.2241          0.0004          soil2          
16.76           0.95            0.0033          0.7789          0.2174          0.0004          soil2          
17.01           0.93            0.0044          0.7844          0.2108          0.0004          soil2          
19.53           1.03            0.0002          0.6663          0.3326          0.0009          soil2          
24.88           1.06            0.0000          0.5327          0.4654          0.0019          soil2          
20.12           0.99            0.0008          0.7084          0.2901          0.0007          soil2          
21.30           1.07            0.0001          0.5924          0.4062          0.0013          soil2          
20.61           1.07            0.0001          0.6013          0.3974          0.0012          soil2          
26.49           1.09            0.0000          0.4569          0.5405          0.0027          soil3          
19.44           1.06            0.0001          0.6240          0.3749          0.0010          soil2          
28.37           1.16            0.0000          0.3161          0.6795          0.0044          soil3          
20.00           1.12            0.0000          0.5224          0.4760          0.0016          soil2          
21.37           1.09            0.0000          0.5586          0.4399          0.0015          soil2          
20.19           1.14            0.0000          0.4919          0.5064          0.0018          soil3          
22.45           1.19            0.0000          0.3563          0.6406          0.0030          soil3          
23.50           1.16            0.0000          0.4069          0.5903          0.0027          soil3          
26.29           1.22            0.0000          0.2609          0.7343          0.0048          soil3          
27.83           1.30            0.0000          0.1347          0.8576          0.0077          soil3          
27.45           1.30            0.0000          0.1422          0.8504          0.0074          soil3          
39.05           1.24            0.0000          0.0676          0.9180          0.0144          soil3          
39.87           1.28            0.0000          0.0444          0.9385          0.0171          soil3          
22.13           1.00            0.0004          0.6619          0.3367          0.0010          soil2          
27.30           1.20            0.0000          0.2715          0.7237          0.0048          soil3          
